Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Language
Queer Eye,2018,16+,8.5,91%,True,False,False,False,True,English
The Spy,2019,18+,7.9,86%,True,False,False,False,True,English
Love,2016,18+,7.7,94%,True,False,False,False,True,English
Designated Survivor,2016,7+,7.5,71%,True,False,False,False,True,English
Ripper Street,2012,18+,8.1,100%,True,False,False,False,True,English
Feel Good,2020,,7.5,100%,True,False,False,False,True,English
Hell on Wheels,2011,16+,8.3,72%,True,False,False,False,True,English
The Fosters,2013,16+,7.9,97%,True,False,False,False,True,English
Hawaii Five-0,2010,16+,7.3,82%,True,False,False,False,True,English
Marvel's The Defenders,2017,18+,7.3,78%,True,False,False,False,True,English
Allo 'Allo!,1984,7+,8.3,,True,False,False,False,True,[]
Supergirl,2015,7+,6.3,88%,True,False,False,False,True,English
Star Trek: Voyager,1995,7+,7.8,77%,True,True,True,False,True,English
Limitless,2015,16+,7.7,57%,True,False,False,False,True,English
Messiah,2020,18+,7.7,44%,True,False,False,False,True,English
The Shannara Chronicles,2016,16+,7.2,77%,True,False,False,False,True,English
Crash Landing on You,2019,16+,8.8,,True,False,False,False,True,Korean
Bleach,2004,18+,8.1,,True,True,False,False,True,Japanese
Top Boy,2011,18+,8.4,95%,True,False,False,False,True,English
Jonathan Strange & Mr Norrell,2015,16+,8.2,91%,True,False,False,False,True,[]
Haven,2010,16+,7.5,63%,True,False,False,False,True,English
Queen of the South,2016,16+,7.9,66%,True,False,False,False,True,English
Delhi Crime,2019,,8.5,91%,True,False,False,False,True,English
Hart of Dixie,2011,7+,7.7,81%,True,False,False,False,True,English
Bloodline,2015,18+,8.0,62%,True,False,False,False,True,English
Middleditch & Schwartz,2020,18+,8.7,100%,True,False,False,False,True,English
Haikyu!!,2014,16+,8.7,,True,True,False,False,True,[]
Dirty Money,2018,16+,8.1,100%,True,False,False,False,True,English
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.1,67%,True,False,False,False,True,English
Babylon Berlin,2017,18+,8.4,,True,False,False,False,True,German
That '70s Show,1998,16+,8.1,,True,False,False,False,True,English
The Magicians,2015,16+,7.6,,True,False,False,False,True,English
Chef's Table,2015,all,8.6,100%,True,False,False,False,True,English
TURN: Washington's Spies,2014,16+,8.1,81%,True,False,False,False,True,[]
Crazy Ex-Girlfriend,2015,16+,7.8,98%,True,False,False,False,True,English
Soul Eater,2008,16+,7.8,100%,True,True,False,False,True,Japanese
Lost Girl,2010,16+,7.7,65%,True,False,False,False,True,English
Wynonna Earp,2016,16+,7.4,93%,True,False,False,False,True,English
Merlin,2008,7+,7.9,,True,True,True,False,True,English
Galavant,2015,7+,8.1,89%,True,False,False,False,True,English
Travelers,2016,16+,8.1,,True,False,False,False,True,English
Hilda,2018,7+,8.6,100%,True,False,False,False,True,English
The Originals,2013,16+,8.2,27%,True,False,False,False,True,English
Episodes,2011,18+,7.8,80%,True,False,False,False,True,English
Absolutely Fabulous,1992,16+,8.1,96%,True,True,False,False,True,English
Living with Yourself,2019,18+,7.2,84%,True,False,False,False,True,English
Malcolm in the Middle,2000,7+,8.0,,True,True,False,False,True,English
F is for Family,2015,18+,8.0,86%,True,False,False,False,True,English
The Keepers,2017,16+,8.1,96%,True,False,False,False,True,English
Cheer,2020,16+,8.2,96%,True,False,False,False,True,English
Disenchantment,2018,16+,7.2,68%,True,False,False,False,True,English
Dead Set,2008,18+,7.7,90%,True,False,False,False,True,English
Ezel,2009,all,8.6,,True,False,False,False,True,Turkish
Nurse Jackie,2009,18+,7.7,81%,True,False,False,False,True,English
Case Closed,1996,16+,8.4,,True,True,False,False,True,[]
Imposters,2017,16+,7.8,100%,True,False,False,False,True,English
Queer as Folk,1999,18+,8.2,100%,True,False,True,False,True,[]
Heartland,2007,7+,8.4,45%,True,False,True,False,True,English
The Staircase,2005,16+,7.9,93%,True,False,False,False,True,[]
Madam Secretary,2014,16+,7.6,68%,True,False,False,False,True,English
Chewing Gum,2015,16+,7.7,100%,True,False,False,False,True,English
Glee,2009,16+,6.7,71%,True,False,False,False,True,English
Fairy Tail,2009,16+,8.0,,True,True,False,False,True,Japanese
The Order,2019,18+,6.9,100%,True,False,False,False,True,English
Legacies,2018,16+,7.5,,True,False,False,False,True,English
North & South,2004,7+,8.6,,True,False,False,False,True,[]
Helix,2014,16+,6.8,81%,True,False,False,False,True,English
Safe,2018,18+,7.3,77%,True,False,False,False,True,English
Evil Genius,2018,18+,7.6,80%,True,False,False,False,True,English
Marvel's Iron Fist,2017,18+,6.5,37%,True,False,False,False,True,English
Lilyhammer,2012,18+,8.0,65%,True,False,False,False,True,English
Voltron: Legendary Defender,2016,7+,8.1,100%,True,False,False,False,True,English
