Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Actors
Mad Men,2007,16+,8.6,94%,True,False,False,False,True,"['John Slattery', 'Jon Hamm', 'Elisabeth Moss', 'Kiernan Shipka', 'Vincent Kartheiser', 'Robert Morse', 'Christina Hendricks', 'Rich Sommer', 'January Jones', 'Aaron Staton', 'Jessica Paré', 'Jared Harris', 'Michael Gladis', 'Bryan Batt', 'Maggie Siff']"
Lucifer,2016,16+,8.2,87%,True,False,False,False,True,"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'Lesley-Ann Brandt', 'Rachael Harris', 'D.B. Woodside', 'Aimee Garcia', 'Tricia Helfer', 'Scarlett Estevez', 'Tom Welling', 'Inbar Lavi', 'Kevin Rankin', 'Tom Ellis', 'Lauren German', 'Aimee Garcia', 'Kevin Alejandro', 'Rachael Harris', 'D.B. Woodside']"
Orange Is the New Black,2013,18+,8.1,90%,True,False,False,False,True,"['Taylor Schilling', 'Danielle Brooks', 'Kate Mulgrew', 'Selenis Leyva', 'Uzo Aduba', 'Dascha Polanco', 'Nick Sandow', 'Natasha Lyonne', 'Yael Stone', 'Laura Prepon', 'Taryn Manning', 'Adrienne C. Moore', 'Jackie Cruz', 'Jessica Pimentel', 'Laura Gomez', 'Lea DeLaria', 'Elizabeth Rodriguez', 'Matt Peters', 'Samira Wiley', 'Dale Soules', 'Michael Harney', 'Alysia Reiner', 'Jason Biggs', 'Michelle Hurst']"
Grey's Anatomy,2005,16+,7.6,83%,True,True,False,False,True,"['Ellen Pompeo', 'James Pickens, Jr.', 'Chandra Wilson', 'Justin Chambers', 'Kevin McKidd', 'Sara Ramirez', 'Jesse Williams', 'Patrick Dempsey', 'Sandra Oh', 'Jessica Capshaw', 'Sarah Drew', 'Camilla Luddington', 'Caterina Scorsone', 'Kelly McCreary', 'Eric Dane', 'Katherine Heigl', 'Jason George', 'Chyler Leigh', 'Jerrika Hinton', 'T.R. Knight', 'Giacomo Gianniotti', 'Kim Raver', 'Isaiah Washington', 'Jake Borelli', 'Kate Walsh', 'Gaius Charles', 'Martin Henderson', 'Greg Germann', 'Tessa Ferrer', 'Chris Carmack', 'Brooke Smith', 'Richard Flood', 'Anthony Hill']"
The End of the F***ing World,2017,18+,8.1,93%,True,False,False,False,True,"['Jessica Barden', 'Alex Lawther']"
Arrested Development,2003,16+,8.7,75%,True,True,False,False,True,"['Jason Bateman', 'Will Arnett', 'Jessica Walter', 'Jeffrey Tambor', 'Michael Cera', 'Alia Shawkat', 'David Cross', 'Tony Hale', 'Portia de Rossi', 'Jeffrey Tambor']"
The Vampire Diaries,2009,7+,7.7,85%,True,False,False,False,True,"['Paul Wesley', 'Ian Somerhalder', 'Candice Accola', 'Kat Graham', 'Nina Dobrev', 'Zach Roerig', 'Steven R. McQueen', 'Matthew Davis', 'Michael Trevino', 'Michael Malarkey', 'Joseph Morgan', 'Sara Canning', 'Kayla Ewell']"
The Crown,2016,18+,8.7,89%,True,False,False,False,True,"['Olivia Colman', 'Claire Foy', 'Matt Smith', 'Tobias Menzies', 'Marion Bailey', 'Victoria Hamilton', 'Vanessa Kirby', 'Helena Bonham Carter', 'Julian Baring', ""Josh O'Connor"", 'Erin Doherty', 'Greg Wise', 'Charles Dance', 'John Lithgow', 'Jeremy Northam', 'Matthew Goode', 'Ben Daniels', 'Ben Miles', 'Lia Williams', 'Geraldine Chaplin', 'Anton Lesser', 'Emma Corrin', 'Derek Jacobi', 'Alex Jennings', 'Jason Watkins', 'Emerald Fennell', 'Jared Harris', 'Jane Lapotaire', 'Gillian Anderson', 'Stephen Boxer', 'Eileen Atkins', 'Andrew Buchan', 'Finn Elliot', 'Michael Maloney', 'Harry Treadaway', 'Richard Roxburgh', 'Stephen Dillane', 'John Heffernan', 'Gemma Whelan', 'Paul Sparks', 'Michael C. Hall', 'Jodi Balfour', 'Burghart Klaußner', 'Clancy Brown', 'Mark Lewis Jones', 'Tim McMullan', 'Tom Brooke', 'Tom Burke', 'Nicholas Farrell']"
The 100,2014,16+,7.7,92%,True,False,False,False,True,"['Eliza Taylor-Cotter', 'Marie Avgeropoulos', 'Bob Morley', 'Lindsey Morgan', 'Richard Harmon', 'Paige Turco', 'Henry Ian Cusick', 'Christopher Larkin', 'Tasya Teles', 'Isaiah Washington', 'Devon Bostick', 'Ricky Whittle', 'Thomas McDonell', 'Chuku Modu', 'J.R. Bourne', 'Shannon Kook', 'Zach McGowan', 'Shelby Flannery', 'Eli Goree', 'Kelly Hu']"
When They See Us,2019,18+,8.9,96%,True,False,False,False,True,"['John Leguizamo', 'Michael K. Williams', 'Marquis Rodriguez', 'Ethan Herisse', 'Asante Blackk', 'Caleel Harris', 'Marsha Stephanie Blake', 'Kylie Bunbury', 'Aunjanue Ellis', 'Niecy Nash', 'Vera Farmiga', 'Felicity Huffman', 'Jharrel Jerome', 'Jovan Adepo', 'Justin Cunningham', 'Chris Chalk', 'Freddy Miyares']"
