Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Genres
Gotham,2014,16+,7.8,77%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
I Am Not Okay with This,2020,18+,7.6,85%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Criminal Minds,2005,16+,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
The Vietnam War,2017,18+,9.1,98%,TRUE,FALSE,FALSE,FALSE,TRUE,"['War', 'History']"
Waco,2018,18+,7.9,68%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Star Trek,1966,7+,8.3,80%,TRUE,TRUE,TRUE,FALSE,TRUE,"['Action', 'Adventure', 'Science-Fiction']"
The OA,2016,16+,7.9,84%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Science-Fiction', 'Mystery']"
Outer Banks,2020,18+,7.6,72%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Adventure']"
The Midnight Gospel,2020,18+,8.4,90%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Adventure', 'Science-Fiction']"
Good Girls,2018,16+,7.9,87%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Crime']"
Chilling Adventures of Sabrina,2018,16+,7.6,84%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Fantasy', 'Supernatural']"
Doctor Foster,2015,16+,7.7,85%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Medical']"
Gilmore Girls,2000,16+,8.1,85%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Romance']"
iZombie,2015,16+,7.9,91%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Horror']"
Anne with an E,2017,7+,8.6,62%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Family', 'History']"
A Series of Unfortunate Events,2017,7+,7.8,96%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Family', 'Horror']"
Neon Genesis Evangelion,1995,16+,8.5,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Anime', 'Science-Fiction']"
